@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-Elog(1+A)-Rlast-weka.filters.unsupervised.attribute.Remove-V-R5,last'

@attribute src_bytes numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
6.198479,normal
4.990433,normal
0,dos
5.451038,normal
5.298317,normal
0,dos
0,dos
0,dos
0,dos
0,dos
0,dos
0,dos
5.66296,normal
5.814131,r2l
0,dos
0,dos
5.70711,normal
2.944439,probe
5.455321,normal
5.840642,normal
0,dos
0,dos
5.537334,normal
4.997212,normal
0,dos
6.082219,normal
0,dos
5.429346,normal
5.375278,normal
5.488938,normal
2.197225,probe
0,dos
5.717028,normal
0,probe
3.828641,normal
4.663439,normal
3.78419,normal
0,dos
5.783825,normal
0,dos
0,dos
0,dos
7.372746,normal
4.990433,normal
5.673323,normal
0,dos
3.367296,dos
5.545177,normal
5.814131,r2l
0,dos
5.713733,normal
0,dos
3.367296,dos
5.398163,normal
3.78419,normal
3.806662,normal
2.197225,probe
0,dos
0,dos
3.78419,normal
6.464588,normal
0,dos
0,probe
5.739793,normal
0,dos
6.546785,normal
0,probe
0,dos
0,dos
0,dos
5.402677,normal
0,dos
5.204007,normal
3.7612,normal
0,dos
2.564949,normal
0,dos
5.351858,normal
5.774552,normal
0,dos
5.799093,normal
0,dos
0,dos
2.197225,probe
5.771441,normal
0,dos
5.420535,normal
0,dos
0,dos
4.990433,normal
5.513429,normal
5.869297,normal
3.806662,normal
0,dos
0,dos
8.028129,normal
4.634729,normal
5.560682,normal
4.997212,normal
0,dos
0,normal
5.736572,normal
0,normal
5.631212,normal
3.367296,dos
5.749393,normal
5.393628,normal
5.505332,normal
5.796058,normal
0,normal
5.529429,normal
7.644919,normal
0,normal
5.472271,normal
5.783825,normal
0.693147,probe
0,dos
4.663439,normal
5.389072,normal
5.786897,normal
0,dos
0,dos
0,dos
5.796058,normal
0,dos
2.302585,normal
3.850148,normal
6.984716,normal
3.828641,normal
5.613128,normal
0,dos
0,dos
5.472271,normal
5.420535,normal
0,dos
0,dos
4.997212,normal
5.572154,normal
6.940222,dos
0,dos
5.568345,normal
0,dos
0,dos
5.686975,normal
5.402677,normal
5.652489,normal
0,probe
5.736572,normal
5.814131,r2l
0,dos
0,dos
5.370638,normal
0,dos
0,dos
0,dos
3.850148,normal
6.618739,normal
0,dos
2.197225,probe
0,dos
5.799093,normal
2.302585,normal
3.850148,normal
7.477038,normal
0,dos
0.693147,probe
2.197225,normal
5.587249,normal
5.505332,normal
5.690359,normal
0,dos
5.433722,normal
6.940222,dos
0,dos
0,dos
0,dos
0,normal
0,probe
0.693147,probe
0,dos
3.433987,normal
7.639642,normal
2.995732,normal
6.495266,normal
3.367296,dos
0,dos
0,dos
0,dos
6.981006,normal
5.411646,normal
5.860786,r2l
5.455321,normal
0,dos
0,dos
5.308268,normal
5.605802,normal
9.576163,normal
5.429346,normal
0,probe
5.420535,normal
5.17615,normal
0,dos
5.429346,normal
6.75227,normal
6.851185,normal
6.861711,normal
0,dos
5.117994,normal
5.726848,normal
0,dos
0,probe
7.300473,dos
0,dos
5.749393,normal
0,dos
0,dos
5.655992,normal
5.42495,normal
5.549076,normal
8.227108,normal
5.4161,normal
0,dos
6.725034,r2l
0,dos
2.197225,probe
5.308268,normal
5.655992,normal
0,dos
8.912339,normal
5.293305,normal
7.745436,normal
5.805135,normal
4.189655,normal
3.367296,dos
3.828641,normal
0,dos
0,dos
0,dos
2.302585,normal
5.648974,normal
5.402677,normal
2.944439,probe
0,dos
0,dos
0,dos
5.713733,normal
0,dos
2.197225,probe
0,dos
5.874931,normal
2.197225,probe
4.672829,normal
5.659482,normal
0.693147,probe
0,probe
6.940222,dos
5.129899,normal
5.476464,normal
0,probe
5.676754,normal
0,dos
6.620073,normal
5.293305,normal
0,dos
5.123964,normal
5.488938,normal
5.823046,normal
6.593045,normal
2.197225,probe
0,dos
5.407172,normal
0,dos
0,normal
3.850148,normal
5.509388,normal
5.407172,normal
0,dos
0,dos
5.63479,normal
5.42495,normal
5.703782,normal
0,dos
2.564949,normal
5.641907,normal
0,dos
3.7612,normal
0,dos
0,dos
5.575949,normal
0.693147,probe
0,normal
0,dos
0,dos
5.648974,normal
5.087596,normal
5.356586,normal
5.308268,normal
2.197225,probe
4.997212,normal
0,dos
6.342121,normal
0,dos
0,dos
15.450894,r2l
5.771441,normal
2.197225,probe
0,normal
5.32301,normal
0,probe
9.248599,normal
0,dos
5.843544,normal
0,dos
0,dos
5.497168,normal
6.940222,dos
2.197225,probe
0,probe
4.663439,normal
0,dos
6.985642,normal
0,dos
0,dos
0,dos
6.489205,normal
0,dos
5.652489,normal
5.568345,normal
5.762051,normal
3.526361,normal
0,probe
0,probe
3.806662,normal
5.375278,normal
0,dos
5.808142,normal
6.886532,normal
5.693732,normal
0,dos
0,dos
5.370638,normal
0,dos
3.89182,normal
5.42495,normal
0,dos
4.369448,normal
0,dos
0,normal
0,dos
0,probe
0,probe
5.686975,normal
0,dos
5.398163,normal
0,probe
5.283204,normal
0,dos
5.793014,normal
0,dos
5.768321,normal
6.992096,normal
5.351858,normal
0,dos
0,normal
5.459586,normal
2.197225,probe
10.906708,dos
5.472271,normal
0,dos
0,dos
5.303305,normal
5.393628,normal
5.652489,normal
0,dos
5.786897,normal
0,dos
3.433987,normal
5.817111,normal
3.610918,normal
0,dos
3.78419,normal
0,dos
0,normal
0,dos
0,dos
5.379897,normal
0,dos
3.806662,normal
5.852202,normal
6.347389,normal
5.393628,normal
4.990433,normal
0,dos
0,dos
0,dos
0,dos
0.693147,probe
0,dos
2.944439,probe
0,normal
5.455321,normal
0,dos
5.624018,normal
3.806662,normal
2.197225,probe
7.511525,normal
5.303305,normal
3.850148,normal
0,dos
0,dos
5.379897,normal
0,dos
5.459586,normal
5.398163,normal
0,dos
4.663439,normal
0,normal
0,dos
0,dos
0,dos
5.666427,normal
0,dos
0,dos
0.693147,probe
3.367296,dos
5.63479,normal
6.940222,dos
5.26269,normal
4.663439,normal
0,probe
7.193686,normal
6.25575,dos
0,dos
5.442418,normal
3.806662,normal
5.605802,normal
5.192957,normal
6.74876,normal
5.407172,normal
5.752573,normal
0,dos
5.442418,normal
0,dos
0,dos
6.754604,normal
5.459586,normal
6.940222,dos
3.367296,dos
0,dos
5.375278,normal
3.850148,normal
4.663439,normal
0,dos
0,dos
0,dos
5.723585,normal
0,dos
5.820083,normal
0,dos
0,dos
4.997212,normal
5.817111,normal
0,dos
5.828946,normal
5.762051,normal
0,dos
10.906708,dos
0,dos
3.7612,normal
6.89467,normal
0,dos
5.214936,normal
0,dos
6.006353,normal
0,dos
6.666957,normal
5.556828,normal
0,dos
2.197225,probe
5.765191,normal
0,dos
0,dos
0,dos
5.379897,normal
0,probe
5.676754,normal
5.4161,normal
0,probe
0,dos
2.890372,normal
0,dos
3.401197,normal
4.663439,normal
3.433987,normal
5.786897,normal
0,dos
0,normal
2.564949,normal
5.361292,normal
5.484797,normal
5.680173,normal
5.153292,normal
0,dos
5.739793,normal
3.806662,normal
4.983607,normal
7.12206,r2l
2.197225,probe
3.828641,normal
0,probe
7.3473,normal
7.177019,normal
5.877736,normal
5.899897,normal
5.805135,normal
3.433987,normal
0,dos
0,dos
5.513429,normal
5.70711,normal
0,dos
5.874931,normal
0,dos
5.758902,normal
3.806662,normal
7.285507,normal
0,dos
4.990433,normal
0,probe
0,dos
0.693147,probe
0,dos
0,dos
4.990433,normal
0,dos
9.532061,normal
0,dos
6.81564,normal
0,dos
5.638355,normal
0,dos
0,dos
3.73767,normal
2.397895,normal
5.743003,normal
5.641907,normal
5.697093,normal
0,dos
3.78419,normal
0,dos
5.814131,r2l
2.197225,probe
5.375278,normal
0,dos
0,normal
6.248043,normal
0,probe
0,dos
0,dos
0,dos
3.806662,normal
0,dos
6.517671,normal
5.814131,normal
0,dos
0,dos
5.32301,normal
6.25575,dos
0,dos
5.26269,normal
2.944439,probe
0,dos
0,dos
0,dos
5.549076,normal
4.174387,normal
3.850148,normal
0,dos
5.398163,normal
3.73767,normal
5.517453,normal
7.131699,r2l
0,dos
3.806662,normal
5.347108,normal
8.681351,normal
2.197225,probe
5.624018,normal
5.446737,normal
0,dos
5.746203,normal
0.693147,probe
0,dos
3.401197,normal
9.490998,normal
0,dos
2.197225,normal
0,dos
3.806662,normal
0,dos
0,dos
5.783825,normal
0,dos
2.944439,probe
5.874931,normal
0.693147,probe
0,dos
10.906708,dos
5.327876,normal
0,dos
5.786897,normal
0,dos
5.451038,normal
6.787845,normal
5.768321,normal
0,dos
0,probe
4.997212,normal
7.280697,normal
10.906708,dos
5.463832,normal
0,probe
0,probe
5.703782,normal
0,dos
0,dos
0,dos
0,dos
5.472271,normal
0,dos
4.990433,normal
0,probe
4.990433,normal
5.313206,normal
0,dos
5.950643,normal
5.846439,normal
5.631212,normal
0,dos
5.283204,normal
0,dos
5.627621,normal
5.31812,normal
0,probe
4.997212,normal
0,dos
0,dos
0,dos
0,dos
5.908083,normal
0,probe
5.55296,normal
2.197225,probe
3.806662,normal
4.859812,normal
5.541264,normal
5.420535,normal
6.654153,normal
5.752573,normal
0,dos
6.265301,normal
0,probe
0.693147,probe
5.365976,normal
5.252273,normal
0,dos
3.367296,dos
0,dos
6.973543,normal
4.844187,normal
5.811141,normal
0,dos
8.410053,normal
0,dos
10.906708,dos
5.480639,normal
0,normal
7.138073,normal
0,dos
0,dos
0,normal
3.7612,normal
5.4161,normal
5.446737,normal
4.997212,normal
3.806662,normal
5.214936,normal
0,dos
0,dos
4.836282,r2l
2.639057,normal
5.455321,normal
3.433987,normal
0,dos
5.631212,normal
0,probe
0,dos
5.472271,normal
5.710427,normal
5.509388,normal
5.442418,normal
3.850148,normal
4.997212,normal
0,dos
6.464588,normal
3.367296,dos
0,dos
4.418841,normal
0,dos
0,probe
0,dos
3.850148,normal
0,dos
0,dos
5.932245,normal
0,dos
4.663439,normal
5.814131,r2l
0,dos
3.433987,normal
6.960348,normal
3.850148,normal
3.828641,normal
7.339538,normal
0,dos
0,dos
5.883322,normal
3.806662,normal
5.645447,normal
5.780744,normal
4.663439,normal
5.389072,normal
0,dos
0,dos
5.799093,normal
6.670766,normal
5.743003,normal
0,dos
0,dos
3.583519,normal
6.940222,dos
0,dos
0,dos
4.094345,normal
0,dos
5.42495,normal
5.31812,normal
7.841886,normal
6.940222,dos
5.793014,normal
0,dos
0,dos
0,normal
0,dos
0,dos
10.906708,dos
0,probe
0,dos
3.367296,dos
2.197225,probe
0,dos
0,dos
6.638568,normal
0,dos
5.7301,normal
0,dos
0,dos
5.46806,normal
5.509388,r2l
0,dos
0,dos
0,dos
5.70711,normal
5.541264,normal
4.997212,normal
0,dos
0.693147,probe
5.814131,r2l
0,probe
7.108244,normal
0,dos
2.197225,probe
5.703782,normal
7.536364,normal
7.171657,normal
0.693147,probe
3.78419,normal
6.940222,dos
0,dos
5.802118,normal
0,dos
5.713733,normal
0,dos
0,dos
0,dos
0,dos
0,dos
5.652489,normal
0,dos
2.564949,normal
5.476464,normal
7.085901,normal
8.795128,normal
2.564949,normal
7.281386,normal
14.601519,normal
0,dos
0,probe
0,dos
5.484797,normal
0,dos
3.7612,normal
0,dos
5.820083,normal
9.344609,normal
0,dos
5.278115,normal
6.248043,normal
5.659482,normal
0,dos
5.375278,normal
5.283204,normal
6.583409,normal
0,probe
0,dos
5.370638,normal
0,dos
5.451038,normal
5.4161,normal
2.197225,probe
5.26269,normal
5.686975,normal
0,probe
5.365976,normal
0,dos
4.663439,normal
0,dos
5.717028,normal
0,dos
3.806662,normal
4.304065,normal
5.288267,normal
0,probe
5.493061,normal
0,dos
5.733341,normal
0,dos
0,dos
5.676754,normal
0,dos
7.900266,normal
0.693147,probe
0,dos
0,dos
5.303305,normal
0,dos
0,dos
2.197225,normal
6.940222,dos
3.367296,dos
0,dos
5.834811,normal
2.197225,normal
0,dos
0,dos
7.302496,normal
3.850148,normal
7.794411,normal
3.610918,normal
5.351858,normal
0,dos
0,dos
5.141664,normal
0,dos
2.197225,probe
0,dos
0,dos
0,dos
0,dos
5.598422,normal
5.755742,normal
0,dos
0,dos
0,dos
0,probe
5.379897,normal
0,normal
0,probe
5.463832,normal
6.504288,normal
7.057037,normal
2.197225,probe
7.17012,normal
0,dos
0,dos
6.568078,normal
6.940222,dos
2.197225,probe
0,probe
0,dos
0,probe
3.7612,normal
0,probe
4.997212,normal
0,normal
0,dos
5.407172,normal
0,dos
5.293305,normal
0,probe
6.25575,dos
0,dos
0,dos
0,dos
2.197225,probe
0,dos
0,dos
0,dos
5.384495,normal
0,dos
2.197225,probe
5.533389,normal
5.303305,normal
0,dos
5.497168,normal
0,dos
0,normal
0,dos
0,dos
0,dos
0,dos
0,dos
5.347108,normal
5.375278,normal
0,dos
3.465736,normal
5.826,normal
5.521461,normal
5.451038,normal
5.56452,normal
0,dos
0,dos
7.682022,normal
5.924256,normal
5.852202,normal
5.872118,normal
0,dos
0,dos
0,dos
0,dos
5.723585,normal
0,dos
4.663439,normal
5.402677,normal
6.788972,normal
6.54535,normal
6.25575,dos
6.206576,normal
0,dos
0,dos
7.923348,normal
3.828641,normal
6.629363,normal
0,probe
5.389072,normal
0,dos
0,dos
0,dos
8.88142,normal
3.850148,normal
2.564949,normal
3.828641,normal
3.78419,normal
6.25575,dos
5.332719,normal
6.940222,dos
7.876638,normal
5.814131,normal
8.420682,normal
5.771441,normal
3.433987,normal
0,normal
5.641907,normal
5.846439,normal
0,dos
5.411646,normal
0,dos
0,normal
2.197225,probe
0,dos
5.32301,normal
0,dos
0.693147,probe
0,dos
0,dos
6.517671,normal
5.347108,normal
0,dos
0,dos
5.438079,normal
0,dos
6.248043,normal
5.843544,normal
0,dos
0,dos
5.627621,normal
5.786897,normal
0,dos
7.153052,normal
0,dos
0,dos
5.393628,normal
0,dos
0,dos
3.73767,normal
0,dos
0,probe
5.78996,normal
0,dos
6.940222,dos
0,probe
5.814131,r2l
2.197225,probe
0,probe
0,dos
5.438079,normal
5.327876,normal
0,dos
5.768321,normal
0,dos
5.720312,normal
2.302585,normal
0,dos
5.877736,normal
0,dos
3.806662,normal
0,dos
5.703782,normal
19.760169,probe
1.94591,probe
0,normal
0,dos
0,dos
5.905362,normal
0,normal
0,dos
14.601519,normal
4.983607,normal
4.990433,normal
0,dos
3.828641,normal
0,dos
0,dos
5.46806,normal
0,dos
0,dos
5.556828,normal
0,probe
5.241747,normal
0,dos
7.086738,r2l
6.900731,normal
0,dos
5.739793,normal
7.862497,normal
0,dos
5.529429,normal
0,dos
6.618739,normal
5.068904,normal
0,dos
0,dos
2.197225,probe
0,dos
5.438079,normal
2.197225,probe
9.21483,normal
4.820282,normal
0,dos
5.624018,normal
0,probe
5.768321,normal
5.638355,normal
0,dos
3.7612,normal
2.197225,probe
7.951207,normal
6.139885,normal
0,dos
0,dos
3.828641,normal
2.197225,probe
0,normal
0,dos
3.367296,dos
0,probe
5.686975,normal
4.990433,normal
3.465736,normal
3.401197,normal
0,dos
7.031741,normal
5.384495,normal
7.192934,normal
3.806662,normal
0,dos
2.197225,probe
5.4161,normal
5.673323,normal
5.493061,normal
5.288267,normal
6.940222,dos
5.765191,normal
0,dos
5.459586,normal
6.940222,dos
7.308543,normal
0,dos
0,dos
0,normal
5.717028,normal
5.572154,normal
0,dos
5.814131,r2l
5.556828,normal
5.375278,probe
5.509388,normal
5.746203,normal
5.308268,normal
5.407172,normal
5.673323,normal
9.339349,normal
0,dos
5.726848,normal
5.733341,normal
0,dos
0,dos
0,probe
5.298317,normal
0,dos
2.197225,probe
0.693147,probe
0,dos
6.336826,dos
0,probe
5.638355,normal
0,dos
5.231109,normal
0,dos
0,dos
0,dos
0,dos
3.806662,normal
5.288267,normal
0,dos
0,dos
0,probe
2.197225,probe
0,dos
3.367296,dos
0,dos
0,normal
0,dos
0,dos
0,dos
2.197225,probe
0,dos
2.70805,normal
0,dos
2.197225,probe
0,dos
6.940222,dos
5.204007,normal
4.663439,normal
0.693147,probe
5.669881,normal
3.828641,normal
6.940222,dos
7.022868,normal
5.463832,normal
0,dos
5.703782,normal
0,dos
0,dos
0,dos
6.25575,dos
6.499787,normal
7.4793,normal
3.7612,normal
5.624018,normal
0,dos
0,dos
5.703782,normal
0,normal
5.693732,normal
0,dos
5.4161,normal
7.773594,normal
2.944439,probe
5.351858,normal
5.793014,normal
0,dos
0,dos
0,probe
5.726848,normal
7.100027,normal
3.806662,normal
0,probe
3.78419,normal
0,dos
5.438079,normal
0,dos
5.7301,normal
0,dos
5.433722,normal
0,dos
0,dos
5.356586,normal
5.560682,normal
3.465736,normal
0,dos
0.693147,probe
6.289716,normal
0,dos
6.25575,dos
0,dos
6.618739,normal
0,dos
0,probe
3.78419,normal
5.648974,normal
5.834811,normal
2.197225,probe
3.7612,normal
0,dos
0.693147,probe
0,dos
9.248599,normal
0,dos
3.828641,normal
4.317488,normal
3.78419,normal
7.126087,normal
5.765191,normal
14.601519,normal
0,dos
