@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-Elog(1+A)-Rlast-weka.filters.unsupervised.attribute.Remove-V-R5,3,28,4,6,27,33,21,31,32,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute diff_srv_rate numeric
@attribute flag numeric
@attribute dst_bytes numeric
@attribute same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
6.198479,0,0,0,0,0.693147,0.029559,1.098612,3.258097,0.157004,normal
4.990433,0.693147,0.139762,0,0,0.076961,0.470004,2.639057,0.693147,0,normal
0,1.098612,0.067659,0.693147,0,0.04879,0.04879,4.820282,3.295837,0.09531,dos
5.451038,1.386294,0,0,9.006264,0.693147,0,1.791759,5.545177,0.693147,normal
5.298317,1.386294,0,0,6.042633,0.693147,0,3.433987,5.545177,0.693147,normal
0,1.098612,0.058269,1.098612,0,0.14842,0.067659,4.804021,2.995732,0.067659,dos
0,1.098612,0.058269,0.693147,0,0.04879,0.04879,5.117994,2.302585,0.039221,dos
0,1.098612,0.058269,0.693147,0,0.131028,0.067659,4.770685,2.772589,0.058269,dos
0,1.609438,0.04879,0.693147,0,0.086178,0.04879,5.602119,3.178054,0.086178,dos
0,1.098612,0.058269,0.693147,0,0.058269,0.058269,4.89784,2.639057,0.04879,dos
0,1.098612,0.058269,1.098612,0,0.058269,0.067659,5.327876,2.564949,0.04879,dos
0,1.098612,0.058269,0.693147,0,0.019803,0.067659,5.298317,2.639057,0.04879,dos
5.66296,1.386294,0,0,7.719574,0.693147,0,1.386294,5.393628,0.693147,normal
5.814131,0,0,0,0,0.693147,0,1.098612,3.044522,0.693147,r2l
0,1.791759,0.058269,0.693147,0,0,0.067659,5.455321,0.693147,0,dos
0,1.94591,0.04879,0.693147,0,0.157004,0.058269,4.574711,1.098612,0.00995,dos
5.70711,1.386294,0,0,9.531626,0.693147,0,2.197225,5.545177,0.693147,normal
2.944439,2.079442,0,0,0,0.693147,0,0.693147,2.833213,0.693147,probe
5.455321,1.386294,0,0,6.424869,0.693147,0,1.386294,5.545177,0.693147,normal
5.840642,1.386294,0,0,7.072422,0.693147,0,2.302585,5.545177,0.693147,normal
0,2.197225,0.04879,0.693147,0,0.09531,0.04879,5.411646,3.178054,0.086178,dos
0,1.098612,0.04879,0.693147,0,0.058269,0.058269,5.638355,2.890372,0.067659,dos
5.537334,1.386294,0,0,9.384798,0.693147,0,2.197225,5.545177,0.693147,normal
4.997212,0.693147,0,0,4.663439,0.693147,0.615186,0.693147,0.693147,0,normal
0,2.197225,0.058269,0.693147,0,0.00995,0.058269,5.517453,1.098612,0.00995,dos
6.082219,2.302585,0,0,9.57651,0.693147,0.04879,0.693147,3.258097,0.09531,normal
0,1.098612,0.058269,0.693147,0,0.029559,0.067659,5.63479,2.639057,0.04879,dos
5.429346,1.386294,0,0,8.793157,0.693147,0,1.791759,5.545177,0.693147,normal
5.375278,1.386294,0,0,9.259131,0.693147,0,2.70805,5.545177,0.693147,normal
5.488938,1.386294,0,0,7.244942,0.693147,0,3.526361,5.545177,0.693147,normal
2.197225,2.079442,0,0,0,0.693147,0,0.693147,3.988984,0.693147,probe
0,2.397895,0.067659,0.693147,0,0.24686,0.039221,4.060443,4.094345,0.207014,dos
5.717028,1.386294,0,0,6.320768,0.693147,0,2.302585,5.545177,0.693147,normal
0,1.098612,0.693147,1.098612,0,0.405465,0.270027,1.098612,0.693147,0,probe
3.828641,2.484907,0,0,3.828641,0.693147,0.00995,5.204007,5.525453,0.683097,normal
4.663439,1.098612,0,0,4.997212,0.693147,0.04879,1.098612,1.791759,0.113329,normal
3.78419,2.484907,0,0,3.78419,0.693147,0,4.812184,5.545177,0.693147,normal
0,2.564949,0.058269,0.693147,0,0.076961,0.067659,5.327876,2.890372,0.067659,dos
5.783825,1.386294,0,0,7.741968,0.693147,0,3.135494,5.545177,0.693147,normal
0,2.639057,0.067659,0.693147,0,0.058269,0.067659,5.433722,2.639057,0.04879,dos
0,0,0.076961,0.693147,0,0.198851,0.019803,3.931826,4.158883,0.223144,dos
0,2.70805,0.058269,0.693147,0,0.04879,0.067659,5.572154,2.302585,0.039221,dos
7.372746,2.772589,0,0,5.921578,0.693147,0.019803,0.693147,4.997212,0.593327,normal
4.990433,0.693147,0.405465,0,4.663439,0.405465,0.506818,1.609438,1.098612,0.00995,normal
5.673323,1.386294,0,0,8.008698,0.693147,0,2.484907,5.545177,0.693147,normal
0,2.833213,0.076961,0.693147,0,0.09531,0.067659,4.691348,2.484907,0.039221,dos
3.367296,1.098612,0,0,0,0.693147,0.019803,4.394449,4.394449,0.270027,dos
5.545177,1.386294,0,0,6.759255,0.693147,0,3.806662,5.545177,0.693147,normal
5.814131,0,0,0,0,0.693147,0,1.098612,3.663562,0.693147,r2l
0,0,0.04879,0.693147,0,0.067659,0.067659,5.556828,1.791759,0.019803,dos
5.713733,1.386294,0,0,6.212606,0.693147,0,2.397895,5.545177,0.693147,normal
0,1.098612,0.09531,1.098612,0,0.067659,0.076961,4.127134,1.609438,0.019803,dos
3.367296,1.098612,0,0,0,0.693147,0.019803,1.098612,1.098612,0.00995,dos
