@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-Elog(1+A)-Rlast-weka.filters.unsupervised.attribute.Remove-V-R5,3,28,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute diff_srv_rate numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
6.198479,0,0,normal
4.990433,0.693147,0.139762,normal
0,1.098612,0.067659,dos
5.451038,1.386294,0,normal
5.298317,1.386294,0,normal
0,1.098612,0.058269,dos
0,1.098612,0.058269,dos
0,1.098612,0.058269,dos
0,1.609438,0.04879,dos
0,1.098612,0.058269,dos
0,1.098612,0.058269,dos
0,1.098612,0.058269,dos
5.66296,1.386294,0,normal
5.814131,0,0,r2l
0,1.791759,0.058269,dos
0,1.94591,0.04879,dos
5.70711,1.386294,0,normal
2.944439,2.079442,0,probe
5.455321,1.386294,0,normal
5.840642,1.386294,0,normal
0,2.197225,0.04879,dos
0,1.098612,0.04879,dos
5.537334,1.386294,0,normal
4.997212,0.693147,0,normal
0,2.197225,0.058269,dos
6.082219,2.302585,0,normal
0,1.098612,0.058269,dos
5.429346,1.386294,0,normal
5.375278,1.386294,0,normal
5.488938,1.386294,0,normal
2.197225,2.079442,0,probe
0,2.397895,0.067659,dos
5.717028,1.386294,0,normal
0,1.098612,0.693147,probe
3.828641,2.484907,0,normal
4.663439,1.098612,0,normal
3.78419,2.484907,0,normal
0,2.564949,0.058269,dos
5.783825,1.386294,0,normal
0,2.639057,0.067659,dos
0,0,0.076961,dos
0,2.70805,0.058269,dos
7.372746,2.772589,0,normal
4.990433,0.693147,0.405465,normal
5.673323,1.386294,0,normal
0,2.833213,0.076961,dos
3.367296,1.098612,0,dos
5.545177,1.386294,0,normal
5.814131,0,0,r2l
0,0,0.04879,dos
5.713733,1.386294,0,normal
0,1.098612,0.09531,dos
3.367296,1.098612,0,dos
5.398163,1.386294,0,normal
3.78419,2.484907,0,normal
3.806662,2.484907,0,normal
2.197225,2.079442,0,probe
0,2.890372,0.058269,dos
0,2.397895,0.076961,dos
3.78419,2.484907,0,normal
6.464588,0,0,normal
0,1.098612,0.058269,dos
0,1.098612,0.693147,probe
5.739793,1.386294,0,normal
0,1.098612,0.076961,dos
6.546785,2.772589,0,normal
0,2.944439,0,probe
0,1.386294,0.076961,dos
0,2.944439,0.058269,dos
0,2.564949,0.058269,dos
5.402677,1.386294,0,normal
0,1.098612,0.058269,dos
5.204007,2.995732,0.512824,normal
3.7612,2.484907,0,normal
0,1.098612,0.058269,dos
2.564949,0,0,normal
0,3.044522,0.058269,dos
5.351858,1.386294,0,normal
5.774552,1.386294,0,normal
0,1.098612,0.058269,dos
5.799093,1.386294,0,normal
0,2.639057,0.067659,dos
0,3.091042,0.04879,dos
2.197225,2.079442,0,probe
5.771441,1.386294,0,normal
0,1.098612,0.04879,dos
5.420535,1.386294,0,normal
0,3.135494,0.058269,dos
0,1.098612,0.04879,dos
4.990433,0.693147,0.512824,normal
5.513429,1.386294,0,normal
5.869297,1.386294,0,normal
3.806662,2.484907,0.019803,normal
0,1.098612,0.04879,dos
0,2.833213,0.058269,dos
8.028129,2.772589,0,normal
4.634729,0.693147,0,normal
5.560682,1.386294,0,normal
4.997212,0.693147,0,normal
0,1.098612,0.04879,dos
0,1.386294,0,normal
5.736572,1.386294,0,normal
0,1.386294,0,normal
5.631212,1.386294,0,normal
3.367296,1.098612,0,dos
5.749393,1.386294,0,normal
5.393628,1.386294,0,normal
5.505332,1.386294,0,normal
5.796058,1.386294,0,normal
0,1.386294,0,normal
5.529429,1.386294,0,normal
7.644919,2.772589,0.693147,normal
0,1.386294,0,normal
5.472271,1.386294,0,normal
5.783825,1.386294,0,normal
0.693147,1.098612,0,probe
0,2.70805,0.04879,dos
4.663439,1.098612,0.405465,normal
5.389072,1.386294,0,normal
5.786897,1.386294,0,normal
0,2.639057,0.067659,dos
0,3.178054,0.067659,dos
0,2.833213,0.067659,dos
5.796058,1.386294,0,normal
0,3.178054,0.04879,dos
2.302585,2.397895,0,normal
3.850148,2.484907,0,normal
6.984716,2.772589,0,normal
3.828641,2.484907,0,normal
5.613128,3.135494,0,normal
0,1.098612,0.058269,dos
0,3.218876,0.058269,dos
5.472271,1.386294,0,normal
5.420535,1.386294,0,normal
0,1.098612,0.058269,dos
0,2.564949,0.058269,dos
4.997212,0.693147,0.512824,normal
5.572154,1.386294,0,normal
6.940222,3.258097,0,dos
0,1.098612,0.058269,dos
5.568345,1.386294,0,normal
0,3.178054,0.076961,dos
0,2.944439,0.067659,dos
5.686975,1.386294,0,normal
5.402677,1.386294,0,normal
5.652489,1.386294,0,normal
0,3.295837,0,probe
5.736572,1.386294,0,normal
5.814131,0,0,r2l
0,2.302585,0.270027,dos
0,1.098612,0.067659,dos
