@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-Elog(1+A)-Rlast-weka.filters.unsupervised.attribute.Remove-V-R5,3,28,4,6,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute diff_srv_rate numeric
@attribute flag numeric
@attribute dst_bytes numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
6.198479,0,0,0,0,normal
4.990433,0.693147,0.139762,0,0,normal
0,1.098612,0.067659,0.693147,0,dos
5.451038,1.386294,0,0,9.006264,normal
5.298317,1.386294,0,0,6.042633,normal
0,1.098612,0.058269,1.098612,0,dos
0,1.098612,0.058269,0.693147,0,dos
0,1.098612,0.058269,0.693147,0,dos
0,1.609438,0.04879,0.693147,0,dos
0,1.098612,0.058269,0.693147,0,dos
0,1.098612,0.058269,1.098612,0,dos
0,1.098612,0.058269,0.693147,0,dos
5.66296,1.386294,0,0,7.719574,normal
5.814131,0,0,0,0,r2l
0,1.791759,0.058269,0.693147,0,dos
0,1.94591,0.04879,0.693147,0,dos
5.70711,1.386294,0,0,9.531626,normal
2.944439,2.079442,0,0,0,probe
5.455321,1.386294,0,0,6.424869,normal
5.840642,1.386294,0,0,7.072422,normal
0,2.197225,0.04879,0.693147,0,dos
0,1.098612,0.04879,0.693147,0,dos
5.537334,1.386294,0,0,9.384798,normal
4.997212,0.693147,0,0,4.663439,normal
0,2.197225,0.058269,0.693147,0,dos
6.082219,2.302585,0,0,9.57651,normal
0,1.098612,0.058269,0.693147,0,dos
5.429346,1.386294,0,0,8.793157,normal
5.375278,1.386294,0,0,9.259131,normal
5.488938,1.386294,0,0,7.244942,normal
2.197225,2.079442,0,0,0,probe
0,2.397895,0.067659,0.693147,0,dos
5.717028,1.386294,0,0,6.320768,normal
0,1.098612,0.693147,1.098612,0,probe
3.828641,2.484907,0,0,3.828641,normal
4.663439,1.098612,0,0,4.997212,normal
3.78419,2.484907,0,0,3.78419,normal
0,2.564949,0.058269,0.693147,0,dos
5.783825,1.386294,0,0,7.741968,normal
0,2.639057,0.067659,0.693147,0,dos
0,0,0.076961,0.693147,0,dos
0,2.70805,0.058269,0.693147,0,dos
7.372746,2.772589,0,0,5.921578,normal
4.990433,0.693147,0.405465,0,4.663439,normal
5.673323,1.386294,0,0,8.008698,normal
0,2.833213,0.076961,0.693147,0,dos
3.367296,1.098612,0,0,0,dos
5.545177,1.386294,0,0,6.759255,normal
5.814131,0,0,0,0,r2l
0,0,0.04879,0.693147,0,dos
5.713733,1.386294,0,0,6.212606,normal
0,1.098612,0.09531,1.098612,0,dos
3.367296,1.098612,0,0,0,dos
5.398163,1.386294,0,0,7.243513,normal
3.78419,2.484907,0,0,4.248495,normal
3.806662,2.484907,0,0,4.89784,normal
2.197225,2.079442,0,0,0,probe
0,2.890372,0.058269,0.693147,0,dos
0,2.397895,0.076961,0.693147,0,dos
3.78419,2.484907,0,0,3.78419,normal
6.464588,0,0,0,0,normal
0,1.098612,0.058269,1.098612,0,dos
0,1.098612,0.693147,1.098612,0,probe
5.739793,1.386294,0,0,7.935587,normal
0,1.098612,0.076961,1.098612,0,dos
6.546785,2.772589,0,0,5.811141,normal
0,2.944439,0,1.386294,0,probe
0,1.386294,0.076961,0.693147,0,dos
0,2.944439,0.058269,1.098612,0,dos
0,2.564949,0.058269,0.693147,0,dos
5.402677,1.386294,0,0,7.965198,normal
0,1.098612,0.058269,0.693147,0,dos
5.204007,2.995732,0.512824,0,0,normal
3.7612,2.484907,0,0,3.7612,normal
0,1.098612,0.058269,0.693147,0,dos
2.564949,0,0,0,0,normal
0,3.044522,0.058269,0.693147,0,dos
5.351858,1.386294,0,0,7.934155,normal
5.774552,1.386294,0,0,8.64541,normal
0,1.098612,0.058269,1.098612,0,dos
5.799093,1.386294,0,0,8.289791,normal
0,2.639057,0.067659,1.098612,0,dos
0,3.091042,0.04879,0.693147,0,dos
2.197225,2.079442,0,0,0,probe
5.771441,1.386294,0,0,5.940171,normal
0,1.098612,0.04879,0.693147,0,dos
5.420535,1.386294,0,0,8.232972,normal
0,3.135494,0.058269,0.693147,0,dos
0,1.098612,0.04879,1.098612,0,dos
4.990433,0.693147,0.512824,0,4.663439,normal
5.513429,1.386294,0,0,7.256297,normal
5.869297,1.386294,0,0,7.302496,normal
3.806662,2.484907,0.019803,0,3.806662,normal
0,1.098612,0.04879,1.098612,0,dos
0,2.833213,0.058269,0.693147,0,dos
8.028129,2.772589,0,0,5.805135,normal
4.634729,0.693147,0,0,4.634729,normal
5.560682,1.386294,0,0,6.621406,normal
4.997212,0.693147,0,0,4.663439,normal
0,1.098612,0.04879,0.693147,0,dos
0,1.386294,0,0,5.872118,normal
5.736572,1.386294,0,0,5.726848,normal
0,1.386294,0,1.098612,0,normal
5.631212,1.386294,0,0,8.885718,normal
3.367296,1.098612,0,0,0,dos
5.749393,1.386294,0,0,6.635947,normal
5.393628,1.386294,0,0,7.100852,normal
5.505332,1.386294,0,0,9.123256,normal
5.796058,1.386294,0,0,7.716015,normal
0,1.386294,0,1.098612,0,normal
5.529429,1.386294,0,0,5.710427,normal
7.644919,2.772589,0.693147,0,5.817111,normal
0,1.386294,0,1.098612,0,normal
5.472271,1.386294,0,0,6.238325,normal
5.783825,1.386294,0,0,6.068426,normal
0.693147,1.098612,0,1.386294,0,probe
0,2.70805,0.04879,1.098612,0,dos
4.663439,1.098612,0.405465,0,4.983607,normal
5.389072,1.386294,0,0,6.882437,normal
5.786897,1.386294,0,0,7.882315,normal
0,2.639057,0.067659,1.098612,0,dos
0,3.178054,0.067659,1.098612,0,dos
0,2.833213,0.067659,0.693147,0,dos
5.796058,1.386294,0,0,5.620401,normal
0,3.178054,0.04879,0.693147,0,dos
2.302585,2.397895,0,0,4.934474,normal
