@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-Elog(1+A)-Rlast-weka.filters.unsupervised.attribute.Remove-V-R5,3,28,4,6,27,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute diff_srv_rate numeric
@attribute flag numeric
@attribute dst_bytes numeric
@attribute same_srv_rate numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
6.198479,0,0,0,0,0.693147,normal
4.990433,0.693147,0.139762,0,0,0.076961,normal
0,1.098612,0.067659,0.693147,0,0.04879,dos
5.451038,1.386294,0,0,9.006264,0.693147,normal
5.298317,1.386294,0,0,6.042633,0.693147,normal
0,1.098612,0.058269,1.098612,0,0.14842,dos
0,1.098612,0.058269,0.693147,0,0.04879,dos
0,1.098612,0.058269,0.693147,0,0.131028,dos
0,1.609438,0.04879,0.693147,0,0.086178,dos
0,1.098612,0.058269,0.693147,0,0.058269,dos
0,1.098612,0.058269,1.098612,0,0.058269,dos
0,1.098612,0.058269,0.693147,0,0.019803,dos
5.66296,1.386294,0,0,7.719574,0.693147,normal
5.814131,0,0,0,0,0.693147,r2l
0,1.791759,0.058269,0.693147,0,0,dos
0,1.94591,0.04879,0.693147,0,0.157004,dos
5.70711,1.386294,0,0,9.531626,0.693147,normal
2.944439,2.079442,0,0,0,0.693147,probe
5.455321,1.386294,0,0,6.424869,0.693147,normal
5.840642,1.386294,0,0,7.072422,0.693147,normal
0,2.197225,0.04879,0.693147,0,0.09531,dos
0,1.098612,0.04879,0.693147,0,0.058269,dos
5.537334,1.386294,0,0,9.384798,0.693147,normal
4.997212,0.693147,0,0,4.663439,0.693147,normal
0,2.197225,0.058269,0.693147,0,0.00995,dos
6.082219,2.302585,0,0,9.57651,0.693147,normal
0,1.098612,0.058269,0.693147,0,0.029559,dos
5.429346,1.386294,0,0,8.793157,0.693147,normal
