@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-E(A-MEAN)/SD-weka.filters.unsupervised.attribute.Remove-V-R5,last'

@attribute src_bytes numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
-0.009889,normal
-0.010032,normal
-0.010092,dos
-0.009996,normal
-0.01001,normal
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.009973,normal
-0.009954,r2l
-0.010092,dos
-0.010092,dos
-0.009968,normal
-0.010085,probe
-0.009996,normal
-0.00995,normal
-0.010092,dos
-0.010092,dos
-0.009987,normal
-0.010031,normal
-0.010092,dos
-0.009911,normal
-0.010092,dos
-0.009998,normal
-0.010003,normal
-0.009992,normal
-0.010089,probe
-0.010092,dos
-0.009967,normal
-0.010092,probe
-0.010074,normal
-0.010049,normal
-0.010074,normal
-0.010092,dos
-0.009958,normal
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.009432,normal
-0.010032,normal
-0.009972,normal
-0.010092,dos
-0.010081,dos
-0.009987,normal
-0.009954,r2l
-0.010092,dos
-0.009967,normal
-0.010092,dos
-0.010081,dos
-0.010001,normal
-0.010074,normal
-0.010074,normal
-0.010089,probe
-0.010092,dos
-0.010092,dos
-0.010074,normal
-0.009826,normal
-0.010092,dos
-0.010092,probe
-0.009964,normal
-0.010092,dos
-0.009804,normal
-0.010092,probe
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.010001,normal
-0.010092,dos
-0.010017,normal
-0.010075,normal
-0.010092,dos
-0.010087,normal
-0.010092,dos
-0.010005,normal
-0.009959,normal
-0.010092,dos
-0.009956,normal
-0.010092,dos
-0.010092,dos
-0.010089,probe
-0.00996,normal
-0.010092,dos
-0.009999,normal
-0.010092,dos
-0.010092,dos
-0.010032,normal
-0.00999,normal
-0.009946,normal
-0.010074,normal
-0.010092,dos
-0.010092,dos
-0.008821,normal
-0.01005,normal
-0.009985,normal
-0.010031,normal
-0.010092,dos
-0.010092,normal
-0.009964,normal
-0.010092,normal
-0.009977,normal
-0.010081,dos
-0.009962,normal
-0.010001,normal
-0.009991,normal
-0.009956,normal
-0.010092,normal
-0.009988,normal
-0.009226,normal
-0.010092,normal
-0.009994,normal
-0.009958,normal
-0.010092,probe
-0.010092,dos
-0.010049,normal
-0.010002,normal
-0.009958,normal
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.009956,normal
-0.010092,dos
-0.010089,normal
-0.010073,normal
-0.009645,normal
-0.010074,normal
-0.009979,normal
-0.010092,dos
-0.010092,dos
-0.009994,normal
-0.009999,normal
-0.010092,dos
-0.010092,dos
-0.010031,normal
-0.009984,normal
-0.009664,dos
-0.010092,dos
-0.009984,normal
-0.010092,dos
-0.010092,dos
-0.00997,normal
-0.010001,normal
-0.009975,normal
-0.010092,probe
-0.009964,normal
-0.009954,r2l
-0.010092,dos
-0.010092,dos
-0.010004,normal
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.010073,normal
-0.009782,normal
-0.010092,dos
-0.010089,probe
-0.010092,dos
-0.009956,normal
-0.010089,normal
-0.010073,normal
-0.00936,normal
-0.010092,dos
-0.010092,probe
-0.010089,normal
-0.009982,normal
-0.009991,normal
-0.00997,normal
-0.010092,dos
-0.009998,normal
-0.009664,dos
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.010092,normal
-0.010092,probe
-0.010092,probe
-0.010092,dos
-0.01008,normal
-0.00923,normal
-0.010084,normal
-0.009818,normal
-0.010081,dos
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.009646,normal
-0.01,normal
-0.009947,r2l
-0.009996,normal
-0.010092,dos
-0.010092,dos
-0.010009,normal
-0.00998,normal
-0.004113,normal
-0.009998,normal
-0.010092,probe
-0.009999,normal
-0.010019,normal
-0.010092,dos
-0.009998,normal
-0.009738,normal
-0.009701,normal
-0.009697,normal
-0.010092,dos
-0.010023,normal
-0.009965,normal
-0.010092,dos
-0.010092,probe
-0.009478,dos
-0.010092,dos
-0.009962,normal
-0.010092,dos
-0.010092,dos
-0.009974,normal
-0.009999,normal
-0.009986,normal
-0.008541,normal
-0.009999,normal
-0.010092,dos
-0.009747,r2l
-0.010092,dos
-0.010089,probe
-0.010009,normal
-0.009974,normal
-0.010092,dos
-0.007014,normal
-0.01001,normal
-0.009134,normal
-0.009955,normal
-0.010065,normal
-0.010081,dos
-0.010074,normal
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.010089,normal
-0.009975,normal
-0.010001,normal
-0.010085,probe
-0.010092,dos
-0.010092,dos
-0.010092,dos
-0.009967,normal
-0.010092,dos
-0.010089,probe
-0.010092,dos
-0.009945,normal
-0.010089,probe
-0.010048,normal
-0.009974,normal
-0.010092,probe
