@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-E(A-MEAN)/SD-weka.filters.unsupervised.attribute.Remove-V-R5,3,28,4,6,27,33,21,31,32,36,23,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute diff_srv_rate numeric
@attribute flag numeric
@attribute dst_bytes numeric
@attribute same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute serror_rate numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
-0.009889,-0.79185,-0.349275,-0.608766,-0.039309,0.772093,-0.280668,-0.720229,-0.813968,-0.779141,-0.641791,-0.640129,normal
-0.010032,-0.714171,0.490826,-0.608766,-0.039309,-1.32054,2.764349,-0.624305,-1.030875,-1.157808,-0.641791,-0.640129,normal
-0.010092,-0.636492,0.042772,0.370672,-0.039309,-1.388778,-0.173825,0.334941,-0.804931,-0.935063,1.603803,1.595445,dos
-0.009996,-0.558813,-0.349275,-0.608766,0.052472,0.772093,-0.440932,-0.694068,1.264717,1.069642,-0.574424,-0.193014,normal
-0.01001,-0.558813,-0.349275,-0.608766,-0.034581,0.772093,-0.440932,-0.476058,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010092,-0.636492,-0.013235,1.350109,-0.039309,-1.138572,-0.066982,0.3175,-0.868195,-1.001886,-0.641791,-0.640129,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.388778,-0.173825,0.709919,-0.958573,-1.06871,1.603803,1.595445,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.184064,-0.066982,0.282618,-0.904346,-1.024161,1.603803,1.595445,dos
-0.010092,-0.481134,-0.069241,0.370672,-0.039309,-1.297794,-0.173825,1.616842,-0.832044,-0.957337,1.603803,1.595445,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.366032,-0.120404,0.422145,-0.922422,-1.046435,1.603803,1.595445,dos
-0.010092,-0.636492,-0.013235,1.350109,-0.039309,-1.366032,-0.066982,1.050015,-0.931459,-1.046435,-0.641791,-0.640129,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.457016,-0.066982,0.997692,-0.922422,-1.046435,1.603803,1.595445,dos
-0.009973,-0.558813,-0.349275,-0.608766,-0.013969,0.772093,-0.440932,-0.711509,0.939358,1.069642,-0.641791,-0.640129,normal
-0.009954,-0.79185,-0.349275,-0.608766,-0.039309,0.772093,-0.440932,-0.720229,-0.859157,1.069642,-0.641791,-0.640129,r2l
-0.010092,-0.403455,-0.013235,0.370672,-0.039309,-1.502509,-0.066982,1.294186,-1.030875,-1.157808,1.603803,1.595445,dos
-0.010092,-0.325776,-0.069241,0.370672,-0.039309,-1.115826,-0.120404,0.09949,-1.021837,-1.135533,1.603803,1.595445,dos
-0.009968,-0.558813,-0.349275,-0.608766,0.115908,0.772093,-0.440932,-0.667907,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010085,-0.248097,-0.349275,-0.608766,-0.039309,0.772093,-0.440932,-0.72895,-0.895308,1.069642,-0.641791,-0.640129,probe
-0.009996,-0.558813,-0.349275,-0.608766,-0.032374,0.772093,-0.440932,-0.711509,1.264717,1.069642,-0.641791,-0.640129,normal
-0.00995,-0.558813,-0.349275,-0.608766,-0.026048,0.772093,-0.440932,-0.659186,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010092,-0.170418,-0.069241,0.370672,-0.039309,-1.275048,-0.173825,1.206982,-0.832044,-0.957337,1.603803,1.595445,dos
-0.010092,-0.636492,-0.069241,0.370672,-0.039309,-1.366032,-0.120404,1.704046,-0.88627,-1.001886,1.581347,1.595445,dos
-0.009987,-0.558813,-0.349275,-0.608766,0.09471,0.772093,-0.440932,-0.667907,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010031,-0.714171,-0.349275,-0.608766,-0.038127,0.772093,4.099882,-0.72895,-1.030875,-1.157808,-0.641791,-0.640129,normal
-0.010092,-0.170418,-0.013235,0.370672,-0.039309,-1.479762,-0.120404,1.424993,-1.021837,-1.135533,1.603803,1.595445,dos
-0.009911,-0.092739,-0.349275,-0.608766,0.123033,0.772093,-0.173825,-0.72895,-0.813968,-0.935063,0.548373,-0.640129,normal
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.43427,-0.066982,1.695325,-0.922422,-1.046435,1.603803,1.595445,dos
-0.009998,-0.558813,-0.349275,-0.608766,0.034855,0.772093,-0.440932,-0.694068,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010003,-0.558813,-0.349275,-0.608766,0.078882,0.772093,-0.440932,-0.615584,1.264717,1.069642,-0.641791,-0.640129,normal
-0.009992,-0.558813,-0.349275,-0.608766,-0.023549,0.772093,-0.440932,-0.449896,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010089,-0.248097,-0.349275,-0.608766,-0.039309,0.772093,-0.440932,-0.72895,-0.560911,1.069642,-0.641791,-0.640129,probe
-0.010092,-0.01506,0.042772,0.370672,-0.039309,-0.86562,-0.227246,-0.240607,-0.506684,-0.645494,1.603803,1.595445,dos
-0.009967,-0.558813,-0.349275,-0.608766,-0.033061,0.772093,-0.440932,-0.659186,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010092,-0.636492,5.251397,1.350109,-0.039309,-0.365208,1.21513,-0.720229,-1.030875,-1.157808,-0.641791,-0.640129,probe
-0.010074,0.062619,-0.349275,-0.608766,-0.038802,0.772093,-0.38751,0.840725,1.219528,1.025093,-0.641791,-0.640129,normal
-0.010049,-0.636492,-0.349275,-0.608766,-0.037654,0.772093,-0.173825,-0.720229,-0.994724,-0.890514,-0.641791,-0.640129,normal
-0.010074,0.062619,-0.349275,-0.608766,-0.038825,0.772093,-0.440932,0.32622,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010092,0.140298,-0.013235,0.370672,-0.039309,-1.32054,-0.066982,1.050015,-0.88627,-1.001886,1.603803,1.595445,dos
-0.009958,-0.558813,-0.349275,-0.608766,-0.013395,0.772093,-0.440932,-0.545821,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010092,0.217977,0.042772,0.370672,-0.039309,-1.366032,-0.066982,1.250584,-0.922422,-1.046435,1.603803,1.595445,dos
-0.010092,-0.79185,0.098779,0.370672,-0.039309,-1.002096,-0.334089,-0.301649,-0.470533,-0.600945,1.603803,1.595445,dos
-0.010092,0.295656,-0.013235,0.370672,-0.039309,-1.388778,-0.066982,1.547078,-0.958573,-1.06871,1.603803,1.595445,dos
-0.009432,0.373335,-0.349275,-0.608766,-0.035121,0.772093,-0.334089,-0.72895,0.288639,0.646426,-0.641791,-0.640129,normal
-0.010032,-0.714171,2.451061,-0.608766,-0.038127,-0.365208,3.084877,-0.702788,-1.021837,-1.135533,-0.641791,-0.640129,normal
-0.009972,-0.558813,-0.349275,-0.608766,-0.005469,0.772093,-0.440932,-0.641746,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010092,0.451014,0.098779,0.370672,-0.039309,-1.275048,-0.066982,0.204135,-0.940497,-1.06871,1.603803,1.595445,dos
-0.010081,-0.636492,-0.349275,-0.608766,-0.039309,0.772093,-0.334089,-0.040037,-0.316891,-0.467298,-0.641791,-0.640129,dos
-0.009987,-0.558813,-0.349275,-0.608766,-0.029616,0.772093,-0.440932,-0.353972,1.264717,1.069642,-0.641791,-0.595418,normal
-0.009954,-0.79185,-0.349275,-0.608766,-0.039309,0.772093,-0.440932,-0.720229,-0.696477,1.069642,-0.641791,-0.640129,r2l
-0.010092,-0.79185,-0.069241,0.370672,-0.039309,-1.343286,-0.066982,1.512197,-0.994724,-1.113259,1.603803,1.595445,dos
-0.009967,-0.558813,-0.349275,-0.608766,-0.033703,0.772093,-0.440932,-0.650466,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010092,-0.636492,0.210792,1.350109,-0.039309,-1.343286,-0.013561,-0.205725,-1.003761,-1.113259,-0.641791,-0.640129,dos
-0.010081,-0.636492,-0.349275,-0.608766,-0.039309,0.772093,-0.334089,-0.720229,-1.021837,-1.135533,-0.641791,-0.640129,dos
-0.010001,-0.558813,-0.349275,-0.608766,-0.023571,0.772093,-0.440932,-0.510939,1.264717,1.069642,-0.641791,-0.640129,normal
-0.010074,0.062619,-0.349275,-0.608766,-0.038532,0.772093,-0.38751,0.30878,1.174339,0.980544,-0.641791,-0.640129,normal
-0.010074,0.062619,-0.349275,-0.608766,-0.037812,0.772093,-0.334089,-0.10108,0.876093,0.802348,-0.641791,-0.640129,normal
-0.010089,-0.248097,-0.349275,-0.608766,-0.039309,0.772093,-0.440932,-0.72895,-0.624175,1.069642,-0.641791,-0.640129,probe
-0.010092,0.528693,-0.013235,0.370672,-0.039309,-1.343286,-0.066982,0.439586,-0.940497,-1.06871,1.603803,1.595445,dos
-0.010092,-0.01506,0.098779,0.370672,-0.039309,-0.365208,-0.227246,-0.52838,-0.506684,-0.645494,1.603803,1.595445,dos
