@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-E(A-MEAN)/SD-weka.filters.unsupervised.attribute.Remove-V-R5,3,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
-0.009889,-0.79185,normal
-0.010032,-0.714171,normal
-0.010092,-0.636492,dos
-0.009996,-0.558813,normal
-0.01001,-0.558813,normal
-0.010092,-0.636492,dos
-0.010092,-0.636492,dos
-0.010092,-0.636492,dos
-0.010092,-0.481134,dos
-0.010092,-0.636492,dos
-0.010092,-0.636492,dos
-0.010092,-0.636492,dos
-0.009973,-0.558813,normal
-0.009954,-0.79185,r2l
-0.010092,-0.403455,dos
-0.010092,-0.325776,dos
-0.009968,-0.558813,normal
-0.010085,-0.248097,probe
-0.009996,-0.558813,normal
-0.00995,-0.558813,normal
-0.010092,-0.170418,dos
-0.010092,-0.636492,dos
-0.009987,-0.558813,normal
-0.010031,-0.714171,normal
-0.010092,-0.170418,dos
-0.009911,-0.092739,normal
-0.010092,-0.636492,dos
-0.009998,-0.558813,normal
-0.010003,-0.558813,normal
-0.009992,-0.558813,normal
-0.010089,-0.248097,probe
-0.010092,-0.01506,dos
-0.009967,-0.558813,normal
-0.010092,-0.636492,probe
-0.010074,0.062619,normal
-0.010049,-0.636492,normal
-0.010074,0.062619,normal
-0.010092,0.140298,dos
-0.009958,-0.558813,normal
-0.010092,0.217977,dos
-0.010092,-0.79185,dos
-0.010092,0.295656,dos
-0.009432,0.373335,normal
-0.010032,-0.714171,normal
-0.009972,-0.558813,normal
-0.010092,0.451014,dos
-0.010081,-0.636492,dos
-0.009987,-0.558813,normal
-0.009954,-0.79185,r2l
-0.010092,-0.79185,dos
-0.009967,-0.558813,normal
-0.010092,-0.636492,dos
-0.010081,-0.636492,dos
-0.010001,-0.558813,normal
-0.010074,0.062619,normal
-0.010074,0.062619,normal
-0.010089,-0.248097,probe
-0.010092,0.528693,dos
-0.010092,-0.01506,dos
-0.010074,0.062619,normal
-0.009826,-0.79185,normal
-0.010092,-0.636492,dos
-0.010092,-0.636492,probe
-0.009964,-0.558813,normal
-0.010092,-0.636492,dos
-0.009804,0.373335,normal
-0.010092,0.606372,probe
-0.010092,-0.558813,dos
-0.010092,0.606372,dos
-0.010092,0.140298,dos
-0.010001,-0.558813,normal
-0.010092,-0.636492,dos
-0.010017,0.684051,normal
-0.010075,0.062619,normal
-0.010092,-0.636492,dos
-0.010087,-0.79185,normal
-0.010092,0.76173,dos
-0.010005,-0.558813,normal
-0.009959,-0.558813,normal
-0.010092,-0.636492,dos
-0.009956,-0.558813,normal
-0.010092,0.217977,dos
-0.010092,0.839409,dos
-0.010089,-0.248097,probe
-0.00996,-0.558813,normal
-0.010092,-0.636492,dos
-0.009999,-0.558813,normal
-0.010092,0.917088,dos
-0.010092,-0.636492,dos
-0.010032,-0.714171,normal
-0.00999,-0.558813,normal
-0.009946,-0.558813,normal
-0.010074,0.062619,normal
-0.010092,-0.636492,dos
-0.010092,0.451014,dos
-0.008821,0.373335,normal
-0.01005,-0.714171,normal
-0.009985,-0.558813,normal
-0.010031,-0.714171,normal
-0.010092,-0.636492,dos
-0.010092,-0.558813,normal
-0.009964,-0.558813,normal
-0.010092,-0.558813,normal
-0.009977,-0.558813,normal
-0.010081,-0.636492,dos
-0.009962,-0.558813,normal
-0.010001,-0.558813,normal
-0.009991,-0.558813,normal
-0.009956,-0.558813,normal
-0.010092,-0.558813,normal
-0.009988,-0.558813,normal
-0.009226,0.373335,normal
-0.010092,-0.558813,normal
-0.009994,-0.558813,normal
-0.009958,-0.558813,normal
-0.010092,-0.636492,probe
-0.010092,0.295656,dos
-0.010049,-0.636492,normal
-0.010002,-0.558813,normal
-0.009958,-0.558813,normal
-0.010092,0.217977,dos
-0.010092,0.994767,dos
-0.010092,0.451014,dos
-0.009956,-0.558813,normal
-0.010092,0.994767,dos
-0.010089,-0.01506,normal
-0.010073,0.062619,normal
-0.009645,0.373335,normal
-0.010074,0.062619,normal
-0.009979,0.917088,normal
-0.010092,-0.636492,dos
-0.010092,1.072446,dos
-0.009994,-0.558813,normal
-0.009999,-0.558813,normal
-0.010092,-0.636492,dos
-0.010092,0.140298,dos
-0.010031,-0.714171,normal
-0.009984,-0.558813,normal
-0.009664,1.150125,dos
-0.010092,-0.636492,dos
-0.009984,-0.558813,normal
-0.010092,0.994767,dos
-0.010092,0.606372,dos
-0.00997,-0.558813,normal
-0.010001,-0.558813,normal
-0.009975,-0.558813,normal
-0.010092,1.227804,probe
-0.009964,-0.558813,normal
-0.009954,-0.79185,r2l
-0.010092,-0.092739,dos
-0.010092,-0.636492,dos
-0.010004,-0.558813,normal
-0.010092,1.305483,dos
-0.010092,1.383162,dos
-0.010092,1.460841,dos
-0.010073,0.062619,normal
-0.009782,-0.79185,normal
-0.010092,1.53852,dos
-0.010089,-0.248097,probe
-0.010092,1.616199,dos
-0.009956,-0.558813,normal
-0.010089,-0.79185,normal
-0.010073,0.062619,normal
-0.00936,-0.79185,normal
-0.010092,-0.481134,dos
-0.010092,-0.714171,probe
-0.010089,-0.01506,normal
-0.009982,-0.558813,normal
-0.009991,-0.79185,normal
-0.00997,-0.558813,normal
-0.010092,1.227804,dos
-0.009998,-0.558813,normal
-0.009664,1.150125,dos
-0.010092,1.693878,dos
-0.010092,-0.636492,dos
-0.010092,1.616199,dos
-0.010092,-0.558813,normal
