@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-E(A-MEAN)/SD-weka.filters.unsupervised.attribute.Remove-V-R5,3,28,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute diff_srv_rate numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
-0.009889,-0.79185,-0.349275,normal
-0.010032,-0.714171,0.490826,normal
-0.010092,-0.636492,0.042772,dos
-0.009996,-0.558813,-0.349275,normal
-0.01001,-0.558813,-0.349275,normal
-0.010092,-0.636492,-0.013235,dos
-0.010092,-0.636492,-0.013235,dos
-0.010092,-0.636492,-0.013235,dos
-0.010092,-0.481134,-0.069241,dos
-0.010092,-0.636492,-0.013235,dos
-0.010092,-0.636492,-0.013235,dos
-0.010092,-0.636492,-0.013235,dos
-0.009973,-0.558813,-0.349275,normal
-0.009954,-0.79185,-0.349275,r2l
-0.010092,-0.403455,-0.013235,dos
-0.010092,-0.325776,-0.069241,dos
-0.009968,-0.558813,-0.349275,normal
-0.010085,-0.248097,-0.349275,probe
-0.009996,-0.558813,-0.349275,normal
-0.00995,-0.558813,-0.349275,normal
-0.010092,-0.170418,-0.069241,dos
-0.010092,-0.636492,-0.069241,dos
-0.009987,-0.558813,-0.349275,normal
-0.010031,-0.714171,-0.349275,normal
-0.010092,-0.170418,-0.013235,dos
-0.009911,-0.092739,-0.349275,normal
-0.010092,-0.636492,-0.013235,dos
-0.009998,-0.558813,-0.349275,normal
-0.010003,-0.558813,-0.349275,normal
-0.009992,-0.558813,-0.349275,normal
-0.010089,-0.248097,-0.349275,probe
-0.010092,-0.01506,0.042772,dos
-0.009967,-0.558813,-0.349275,normal
-0.010092,-0.636492,5.251397,probe
-0.010074,0.062619,-0.349275,normal
-0.010049,-0.636492,-0.349275,normal
-0.010074,0.062619,-0.349275,normal
-0.010092,0.140298,-0.013235,dos
-0.009958,-0.558813,-0.349275,normal
-0.010092,0.217977,0.042772,dos
-0.010092,-0.79185,0.098779,dos
-0.010092,0.295656,-0.013235,dos
-0.009432,0.373335,-0.349275,normal
-0.010032,-0.714171,2.451061,normal
-0.009972,-0.558813,-0.349275,normal
-0.010092,0.451014,0.098779,dos
-0.010081,-0.636492,-0.349275,dos
-0.009987,-0.558813,-0.349275,normal
-0.009954,-0.79185,-0.349275,r2l
-0.010092,-0.79185,-0.069241,dos
-0.009967,-0.558813,-0.349275,normal
-0.010092,-0.636492,0.210792,dos
-0.010081,-0.636492,-0.349275,dos
-0.010001,-0.558813,-0.349275,normal
-0.010074,0.062619,-0.349275,normal
-0.010074,0.062619,-0.349275,normal
-0.010089,-0.248097,-0.349275,probe
-0.010092,0.528693,-0.013235,dos
-0.010092,-0.01506,0.098779,dos
-0.010074,0.062619,-0.349275,normal
-0.009826,-0.79185,-0.349275,normal
-0.010092,-0.636492,-0.013235,dos
-0.010092,-0.636492,5.251397,probe
-0.009964,-0.558813,-0.349275,normal
-0.010092,-0.636492,0.098779,dos
-0.009804,0.373335,-0.349275,normal
-0.010092,0.606372,-0.349275,probe
-0.010092,-0.558813,0.098779,dos
-0.010092,0.606372,-0.013235,dos
-0.010092,0.140298,-0.013235,dos
-0.010001,-0.558813,-0.349275,normal
-0.010092,-0.636492,-0.013235,dos
-0.010017,0.684051,3.403175,normal
-0.010075,0.062619,-0.349275,normal
-0.010092,-0.636492,-0.013235,dos
-0.010087,-0.79185,-0.349275,normal
-0.010092,0.76173,-0.013235,dos
-0.010005,-0.558813,-0.349275,normal
-0.009959,-0.558813,-0.349275,normal
-0.010092,-0.636492,-0.013235,dos
-0.009956,-0.558813,-0.349275,normal
-0.010092,0.217977,0.042772,dos
-0.010092,0.839409,-0.069241,dos
