@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-E(A-MEAN)/SD-weka.filters.unsupervised.attribute.Remove-V-R5,3,28,4,6,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute diff_srv_rate numeric
@attribute flag numeric
@attribute dst_bytes numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
-0.009889,-0.79185,-0.349275,-0.608766,-0.039309,normal
-0.010032,-0.714171,0.490826,-0.608766,-0.039309,normal
-0.010092,-0.636492,0.042772,0.370672,-0.039309,dos
-0.009996,-0.558813,-0.349275,-0.608766,0.052472,normal
-0.01001,-0.558813,-0.349275,-0.608766,-0.034581,normal
-0.010092,-0.636492,-0.013235,1.350109,-0.039309,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,dos
-0.010092,-0.481134,-0.069241,0.370672,-0.039309,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,dos
-0.010092,-0.636492,-0.013235,1.350109,-0.039309,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,dos
-0.009973,-0.558813,-0.349275,-0.608766,-0.013969,normal
-0.009954,-0.79185,-0.349275,-0.608766,-0.039309,r2l
-0.010092,-0.403455,-0.013235,0.370672,-0.039309,dos
-0.010092,-0.325776,-0.069241,0.370672,-0.039309,dos
-0.009968,-0.558813,-0.349275,-0.608766,0.115908,normal
-0.010085,-0.248097,-0.349275,-0.608766,-0.039309,probe
-0.009996,-0.558813,-0.349275,-0.608766,-0.032374,normal
-0.00995,-0.558813,-0.349275,-0.608766,-0.026048,normal
-0.010092,-0.170418,-0.069241,0.370672,-0.039309,dos
-0.010092,-0.636492,-0.069241,0.370672,-0.039309,dos
-0.009987,-0.558813,-0.349275,-0.608766,0.09471,normal
-0.010031,-0.714171,-0.349275,-0.608766,-0.038127,normal
-0.010092,-0.170418,-0.013235,0.370672,-0.039309,dos
-0.009911,-0.092739,-0.349275,-0.608766,0.123033,normal
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,dos
-0.009998,-0.558813,-0.349275,-0.608766,0.034855,normal
-0.010003,-0.558813,-0.349275,-0.608766,0.078882,normal
-0.009992,-0.558813,-0.349275,-0.608766,-0.023549,normal
-0.010089,-0.248097,-0.349275,-0.608766,-0.039309,probe
-0.010092,-0.01506,0.042772,0.370672,-0.039309,dos
-0.009967,-0.558813,-0.349275,-0.608766,-0.033061,normal
-0.010092,-0.636492,5.251397,1.350109,-0.039309,probe
-0.010074,0.062619,-0.349275,-0.608766,-0.038802,normal
-0.010049,-0.636492,-0.349275,-0.608766,-0.037654,normal
-0.010074,0.062619,-0.349275,-0.608766,-0.038825,normal
-0.010092,0.140298,-0.013235,0.370672,-0.039309,dos
-0.009958,-0.558813,-0.349275,-0.608766,-0.013395,normal
-0.010092,0.217977,0.042772,0.370672,-0.039309,dos
-0.010092,-0.79185,0.098779,0.370672,-0.039309,dos
-0.010092,0.295656,-0.013235,0.370672,-0.039309,dos
-0.009432,0.373335,-0.349275,-0.608766,-0.035121,normal
-0.010032,-0.714171,2.451061,-0.608766,-0.038127,normal
