@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-E(A-MEAN)/SD-weka.filters.unsupervised.attribute.Remove-V-R5,3,28,4,6,27,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute diff_srv_rate numeric
@attribute flag numeric
@attribute dst_bytes numeric
@attribute same_srv_rate numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
-0.009889,-0.79185,-0.349275,-0.608766,-0.039309,0.772093,normal
-0.010032,-0.714171,0.490826,-0.608766,-0.039309,-1.32054,normal
-0.010092,-0.636492,0.042772,0.370672,-0.039309,-1.388778,dos
-0.009996,-0.558813,-0.349275,-0.608766,0.052472,0.772093,normal
-0.01001,-0.558813,-0.349275,-0.608766,-0.034581,0.772093,normal
-0.010092,-0.636492,-0.013235,1.350109,-0.039309,-1.138572,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.388778,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.184064,dos
-0.010092,-0.481134,-0.069241,0.370672,-0.039309,-1.297794,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.366032,dos
-0.010092,-0.636492,-0.013235,1.350109,-0.039309,-1.366032,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.457016,dos
-0.009973,-0.558813,-0.349275,-0.608766,-0.013969,0.772093,normal
-0.009954,-0.79185,-0.349275,-0.608766,-0.039309,0.772093,r2l
-0.010092,-0.403455,-0.013235,0.370672,-0.039309,-1.502509,dos
-0.010092,-0.325776,-0.069241,0.370672,-0.039309,-1.115826,dos
-0.009968,-0.558813,-0.349275,-0.608766,0.115908,0.772093,normal
-0.010085,-0.248097,-0.349275,-0.608766,-0.039309,0.772093,probe
-0.009996,-0.558813,-0.349275,-0.608766,-0.032374,0.772093,normal
-0.00995,-0.558813,-0.349275,-0.608766,-0.026048,0.772093,normal
-0.010092,-0.170418,-0.069241,0.370672,-0.039309,-1.275048,dos
-0.010092,-0.636492,-0.069241,0.370672,-0.039309,-1.366032,dos
-0.009987,-0.558813,-0.349275,-0.608766,0.09471,0.772093,normal
-0.010031,-0.714171,-0.349275,-0.608766,-0.038127,0.772093,normal
-0.010092,-0.170418,-0.013235,0.370672,-0.039309,-1.479762,dos
-0.009911,-0.092739,-0.349275,-0.608766,0.123033,0.772093,normal
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.43427,dos
-0.009998,-0.558813,-0.349275,-0.608766,0.034855,0.772093,normal
-0.010003,-0.558813,-0.349275,-0.608766,0.078882,0.772093,normal
-0.009992,-0.558813,-0.349275,-0.608766,-0.023549,0.772093,normal
-0.010089,-0.248097,-0.349275,-0.608766,-0.039309,0.772093,probe
-0.010092,-0.01506,0.042772,0.370672,-0.039309,-0.86562,dos
-0.009967,-0.558813,-0.349275,-0.608766,-0.033061,0.772093,normal
-0.010092,-0.636492,5.251397,1.350109,-0.039309,-0.365208,probe
-0.010074,0.062619,-0.349275,-0.608766,-0.038802,0.772093,normal
-0.010049,-0.636492,-0.349275,-0.608766,-0.037654,0.772093,normal
-0.010074,0.062619,-0.349275,-0.608766,-0.038825,0.772093,normal
-0.010092,0.140298,-0.013235,0.370672,-0.039309,-1.32054,dos
-0.009958,-0.558813,-0.349275,-0.608766,-0.013395,0.772093,normal
-0.010092,0.217977,0.042772,0.370672,-0.039309,-1.366032,dos
-0.010092,-0.79185,0.098779,0.370672,-0.039309,-1.002096,dos
-0.010092,0.295656,-0.013235,0.370672,-0.039309,-1.388778,dos
-0.009432,0.373335,-0.349275,-0.608766,-0.035121,0.772093,normal
-0.010032,-0.714171,2.451061,-0.608766,-0.038127,-0.365208,normal
-0.009972,-0.558813,-0.349275,-0.608766,-0.005469,0.772093,normal
-0.010092,0.451014,0.098779,0.370672,-0.039309,-1.275048,dos
-0.010081,-0.636492,-0.349275,-0.608766,-0.039309,0.772093,dos
-0.009987,-0.558813,-0.349275,-0.608766,-0.029616,0.772093,normal
-0.009954,-0.79185,-0.349275,-0.608766,-0.039309,0.772093,r2l
-0.010092,-0.79185,-0.069241,0.370672,-0.039309,-1.343286,dos
-0.009967,-0.558813,-0.349275,-0.608766,-0.033703,0.772093,normal
-0.010092,-0.636492,0.210792,1.350109,-0.039309,-1.343286,dos
-0.010081,-0.636492,-0.349275,-0.608766,-0.039309,0.772093,dos
-0.010001,-0.558813,-0.349275,-0.608766,-0.023571,0.772093,normal
-0.010074,0.062619,-0.349275,-0.608766,-0.038532,0.772093,normal
-0.010074,0.062619,-0.349275,-0.608766,-0.037812,0.772093,normal
-0.010089,-0.248097,-0.349275,-0.608766,-0.039309,0.772093,probe
-0.010092,0.528693,-0.013235,0.370672,-0.039309,-1.343286,dos
-0.010092,-0.01506,0.098779,0.370672,-0.039309,-0.365208,dos
-0.010074,0.062619,-0.349275,-0.608766,-0.038825,0.772093,normal
-0.009826,-0.79185,-0.349275,-0.608766,-0.039309,0.772093,normal
-0.010092,-0.636492,-0.013235,1.350109,-0.039309,-1.457016,dos
-0.010092,-0.636492,5.251397,1.350109,-0.039309,-1.479762,probe
-0.009964,-0.558813,-0.349275,-0.608766,-0.007856,0.772093,normal
-0.010092,-0.636492,0.098779,1.350109,-0.039309,-1.138572,dos
-0.009804,0.373335,-0.349275,-0.608766,-0.03556,0.772093,normal
-0.010092,0.606372,-0.349275,2.329547,-0.039309,0.772093,probe
-0.010092,-0.558813,0.098779,0.370672,-0.039309,-0.660906,dos
-0.010092,0.606372,-0.013235,1.350109,-0.039309,-1.366032,dos
-0.010092,0.140298,-0.013235,0.370672,-0.039309,-1.229556,dos
-0.010001,-0.558813,-0.349275,-0.608766,-0.00691,0.772093,normal
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.252302,dos
-0.010017,0.684051,3.403175,-0.608766,-0.039309,0.021475,normal
-0.010075,0.062619,-0.349275,-0.608766,-0.038836,0.772093,normal
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.411524,dos
-0.010087,-0.79185,-0.349275,-0.608766,-0.039309,0.772093,normal
-0.010092,0.76173,-0.013235,0.370672,-0.039309,-1.43427,dos
-0.010005,-0.558813,-0.349275,-0.608766,-0.007901,0.772093,normal
-0.009959,-0.558813,-0.349275,-0.608766,0.024667,0.772093,normal
-0.010092,-0.636492,-0.013235,1.350109,-0.039309,-1.43427,dos
-0.009956,-0.558813,-0.349275,-0.608766,0.005518,0.772093,normal
-0.010092,0.217977,0.042772,1.350109,-0.039309,-1.388778,dos
-0.010092,0.839409,-0.069241,0.370672,-0.039309,-1.297794,dos
-0.010089,-0.248097,-0.349275,-0.608766,-0.039309,0.772093,probe
-0.00996,-0.558813,-0.349275,-0.608766,-0.035042,0.772093,normal
-0.010092,-0.636492,-0.069241,0.370672,-0.039309,-1.43427,dos
-0.009999,-0.558813,-0.349275,-0.608766,0.003041,0.772093,normal
-0.010092,0.917088,-0.013235,0.370672,-0.039309,-1.388778,dos
-0.010092,-0.636492,-0.069241,1.350109,-0.039309,-1.252302,dos
-0.010032,-0.714171,3.403175,-0.608766,-0.038127,0.021475,normal
-0.00999,-0.558813,-0.349275,-0.608766,-0.023369,0.772093,normal
-0.009946,-0.558813,-0.349275,-0.608766,-0.022614,0.772093,normal
-0.010074,0.062619,-0.237262,-0.608766,-0.038814,0.749347,normal
-0.010092,-0.636492,-0.069241,1.350109,-0.039309,-1.229556,dos
-0.010092,0.451014,-0.013235,0.370672,-0.039309,-1.457016,dos
-0.008821,0.373335,-0.349275,-0.608766,-0.035583,0.772093,normal
-0.01005,-0.714171,-0.349275,-0.608766,-0.038161,0.772093,normal
-0.009985,-0.558813,-0.349275,-0.608766,-0.030866,0.772093,normal
-0.010031,-0.714171,-0.349275,-0.608766,-0.038127,0.772093,normal
-0.010092,-0.636492,-0.069241,0.370672,-0.039309,-1.229556,dos
-0.010092,-0.558813,-0.349275,-0.608766,-0.035324,0.772093,normal
-0.009964,-0.558813,-0.349275,-0.608766,-0.035864,0.772093,normal
-0.010092,-0.558813,-0.349275,1.350109,-0.039309,0.772093,normal
-0.009977,-0.558813,-0.349275,-0.608766,0.042048,0.772093,normal
-0.010081,-0.636492,-0.349275,-0.608766,-0.039309,0.772093,dos
-0.009962,-0.558813,-0.349275,-0.608766,-0.030742,0.772093,normal
-0.010001,-0.558813,-0.349275,-0.608766,-0.025665,0.772093,normal
-0.009991,-0.558813,-0.349275,-0.608766,0.063865,0.772093,normal
-0.009956,-0.558813,-0.349275,-0.608766,-0.014059,0.772093,normal
-0.010092,-0.558813,-0.349275,1.350109,-0.039309,0.772093,normal
-0.009988,-0.558813,-0.349275,-0.608766,-0.035921,0.772093,normal
-0.009226,0.373335,5.251397,-0.608766,-0.035538,-0.365208,normal
-0.010092,-0.558813,-0.349275,1.350109,-0.039309,0.772093,normal
-0.009994,-0.558813,-0.349275,-0.608766,-0.033556,0.772093,normal
-0.009958,-0.558813,-0.349275,-0.608766,-0.034457,0.772093,normal
-0.010092,-0.636492,-0.349275,2.329547,-0.039309,0.772093,probe
-0.010092,0.295656,-0.069241,1.350109,-0.039309,-1.161318,dos
-0.010049,-0.636492,2.451061,-0.608766,-0.037677,-0.933858,normal
-0.010002,-0.558813,-0.349275,-0.608766,-0.028344,0.772093,normal
-0.009958,-0.558813,-0.349275,-0.608766,-0.009488,0.772093,normal
-0.010092,0.217977,0.042772,1.350109,-0.039309,-1.32054,dos
-0.010092,0.994767,0.042772,1.350109,-0.039309,-1.343286,dos
-0.010092,0.451014,0.042772,0.370672,-0.039309,-1.43427,dos
-0.009956,-0.558813,-0.349275,-0.608766,-0.036213,0.772093,normal
-0.010092,0.994767,-0.069241,0.370672,-0.039309,-1.457016,dos
-0.010089,-0.01506,-0.349275,-0.608766,-0.037755,0.772093,normal
-0.010073,0.062619,-0.349275,-0.608766,-0.038791,0.772093,normal
-0.009645,0.373335,-0.349275,-0.608766,-0.035549,0.772093,normal
-0.010074,0.062619,-0.349275,-0.608766,-0.037744,0.772093,normal
-0.009979,0.917088,-0.349275,-0.608766,-0.029144,0.772093,normal
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.252302,dos
-0.010092,1.072446,-0.013235,1.350109,-0.039309,-1.411524,dos
-0.009994,-0.558813,-0.349275,-0.608766,-0.037755,0.772093,normal
-0.009999,-0.558813,-0.349275,-0.608766,-0.024033,0.772093,normal
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.366032,dos
-0.010092,0.140298,-0.013235,0.370672,-0.039309,-1.32054,dos
-0.010031,-0.714171,3.403175,-0.608766,-0.039309,-0.75189,normal
-0.009984,-0.558813,-0.349275,-0.608766,-0.027928,0.772093,normal
-0.009664,1.150125,-0.349275,-0.608766,-0.039309,0.772093,dos
-0.010092,-0.636492,-0.013235,0.370672,-0.039309,-1.229556,dos
-0.009984,-0.558813,-0.349275,-0.608766,0.055388,0.772093,normal
-0.010092,0.994767,0.098779,1.350109,-0.039309,-1.366032,dos
-0.010092,0.606372,0.042772,1.350109,-0.039309,-1.479762,dos
-0.00997,-0.558813,-0.349275,-0.608766,-0.019958,0.772093,normal
-0.010001,-0.558813,-0.349275,-0.608766,-0.028266,0.772093,normal
-0.009975,-0.558813,-0.349275,-0.608766,0.077227,0.772093,normal
-0.010092,1.227804,-0.349275,3.308985,-0.039309,0.772093,probe
-0.009964,-0.558813,-0.349275,-0.608766,0.14189,0.772093,normal
